ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-3919540,2,2020-07-03 09:01:00,2020-07-03 13:44:00,36.72773400000001,-119.46251,36.731924,-119.473159,0.656928430974,Construction on CA-180 WB near LONE OAK RD Expect long delays.,,E Kings Canyon Rd,R,Sanger,Fresno,CA,93657,US,US/Pacific,KFAT,2020-07-03 08:53:00,75.0,75.0,44.0,29.62,10.0,ESE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919541,2,2021-06-27 07:42:00,2021-06-27 14:44:06,30.00087700000001,-95.426062,29.93644500000001,-95.412505,4.525177929030002,Roadwork on I-45/North Fwy Frontage/FM-1960 (I-45 HOV) from West Rd (I-45 HOV) to I-45 N - I-45 S.,,I-45 N,R,Houston,Harris,TX,77090,US,US/Central,KDWH,2021-06-27 07:53:00,81.0,81.0,82.0,29.76,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919542,2,2021-09-15 07:32:30,2021-09-15 07:56:00,39.704895,-105.109529,39.710942,-105.109547,0.417809003521,Stationary traffic on CO-391 from W Mississippi Ave (S Kipling Pkwy/CO-391) to CO-26/W Alameda Ave (S Kipling St/CO-391) due to roadwork.,608.0,S Kipling Pkwy,R,Denver,Jefferson,CO,80226,US,US/Mountain,KBJC,2021-09-15 07:45:00,55.0,55.0,77.0,24.42,10.0,WSW,3.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3919543,4,2018-06-29 14:36:56,2018-07-31 19:00:00,41.67869,-83.57337,41.677724,-83.573758,0.0696829120347,At I-475/Exit 204 - Roadwork.,,I-75 S,R,Toledo,Lucas,OH,43610,US,US/Eastern,KDUH,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919544,3,2019-11-14 21:00:00,2019-11-15 06:00:00,39.753937,-86.160088,,,0.0,Two lanes closed due to construction on I-70 Eastbound at Exit 79B Mccarty St.,51.0,W Ray St,L,Indianapolis,Marion,IN,46225,US,US/Eastern,KIND,2019-11-14 20:54:00,31.0,23.0,79.0,29.46,10.0,NW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3919545,2,2021-09-17 15:28:30,2021-09-17 18:05:16,39.740097,-104.848899,39.741542,-104.846942,0.144147489026,Stationary traffic on US-40 E - I-70 Bus E - US-287 S from Oswego St to E 16th Ave due to roadwork.,11942.0,E Colfax Ave,R,Aurora,Arapahoe,CO,80010-5110,US,US/Mountain,KBKF,2021-09-17 15:58:00,71.0,71.0,33.0,24.56,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919546,2,2021-07-08 12:05:25,2021-12-18 06:45:00,38.886555,-77.221003,38.886246,-77.221643,0.0405040298831999,Construction on I-66 SB near I-66 Construction. Right lane closed.,,I-66 W,R,Dunn Loring,Fairfax County,VA,22027,US,US/Eastern,KDCA,2021-12-17 21:52:00,56.0,56.0,26.0,30.2,10.0,NE,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919547,2,2021-10-31 10:54:30,2021-10-31 11:14:30,29.761161,-96.178517,29.763532,-96.184854,0.4138904715049999,Slow traffic from I-10 W to I-10 W / FM 3538 due to roadwork.,,I-10 W,R,Sealy,Austin,TX,77474,US,US/Central,KTME,2021-10-31 10:55:00,75.0,75.0,38.0,29.92,8.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919548,2,2020-07-17 08:27:00,2020-07-17 13:45:00,33.721705,-78.87963,33.720797,-78.880986,0.10004266933,Construction on US-17 SB near BOB GRISSOM PKY Construction. Right lane closed.,3007.0,Highway 17 Byp N,L,Myrtle Beach,Horry,SC,29577-6742,US,US/Eastern,KMYR,2020-07-17 08:56:00,83.0,83.0,72.0,30.17,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3919549,2,2019-08-05 09:30:57,2019-08-09 09:30:51,38.86066,-77.0034,38.86298,-76.99602,0.428183619849,Between Capitol St and Howard Rd SE - Construction work. Lane blocked.,2140.0,S Capitol St SE,L,Washington,District of Columbia,DC,20020,US,US/Eastern,KWBC,2019-08-05 09:56:00,79.0,79.0,75.0,29.68,10.0,ENE,5.0,0.0,Fair,False,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day
