ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-1856652,3,2016-08-27 01:00:00,2016-08-29 08:00:00,37.948418,-121.300972,,,0.0,Road closed due to construction work on CA-4 Ort J Lofthus Fwy Westbound from Exit 68B CA-99 to Exits 65A 65B I-5. Detour in operation - Use SR-12 or SR-120 for detour access.,,Ort J Lofthus Fwy W,R,Stockton,San Joaquin,CA,95203,US,US/Pacific,KSCK,2016-08-27 00:55:00,60.1,,86.0,29.93,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1856653,2,2021-05-21 06:04:32,2021-10-31 18:00:00,36.192322,-82.988853,,,3.5199999809300007,Intermittent lane closures due to long-term construction on US-11E Andrew Johnson Hwy both ways from Blue Springs Pkwy to Forest Rd.,9820.0,W Andrew Johnson Hwy,R,Mosheim,Greene,TN,37818-4116,US,US/Eastern,K0VG,2021-05-21 05:53:00,54.0,54.0,86.0,28.81,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-1856654,3,2021-08-23 06:15:17,2021-08-23 09:59:00,30.438231,-91.023827,,,0.0,Two left lane closed due to construction on I-12 Eastbound at Exit 6 Millerville Rd.,,I-12 E,R,Baton Rouge,East Baton Rouge,LA,70816,US,US/Central,KBTR,2021-08-23 05:53:00,76.0,76.0,97.0,29.93,10.0,W,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-1856655,2,2020-11-13 02:10:57,2020-11-18 07:59:59,40.675023,-74.191242,40.674533,-74.191022,0.0357647602516,Milling on Port Newark Elizabeth Marine Terminal (Essex) alternating lane closures on Dowd Ave. near North Ave. Follow directions of PAPD. Not currently scheduled,,North Ave E,R,Elizabeth,Union,NJ,07201,US,US/Eastern,KEWR,2020-11-13 01:51:00,49.0,45.0,77.0,30.04,10.0,ENE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-1856656,2,2021-04-26 14:05:00,2021-10-24 07:25:30,41.243244,-73.10906700000002,41.245124,-73.102407,0.369578419045,ConnDOT: Road Work on RT15 Northbound between Exits 53 and 54 (1.1 miles) in effect today until 4:00 pm. Expect lane closures. Reported Monday April 26 at 2:05 pm.,,CT-15 N,R,Stratford,Fairfield,CT,06614,US,US/Eastern,KBDR,2021-04-26 13:52:00,57.0,57.0,27.0,29.95,10.0,NW,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1856657,4,2021-09-11 19:05:00,2021-09-12 23:17:33,39.83855,-75.40504399999998,39.837921,-75.404519,0.0516193215053999,Construction on I-95 NB near HIGHLAND AVE Use alternate exit ramp.,1154.0,Township Line Rd,R,Chester,Delaware,PA,19013-1446,US,US/Eastern,KPHL,2021-09-11 18:54:00,76.0,76.0,46.0,30.12,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1856658,2,2021-07-29 09:00:00,2021-07-29 16:45:00,37.579478,-76.94675500000002,37.581488,-76.947994,0.154563015722,Construction on MT OLIVE-COHOKE RD NB near SMITH FERRY RD Drive with caution.,10663.0,Mount Olive Cohoke Rd,R,West Point,King William,VA,23181-3405,US,US/Eastern,KFYJ,2021-07-29 08:55:00,76.0,76.0,85.0,29.96,10.0,S,6.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1856659,2,2021-11-19 15:38:29,2021-11-19 15:58:29,35.8069,-90.672569,35.805508,-90.669371,0.2033779647459999,Stationary traffic on US-49 N from AR-1 Bus/Harrisburg Rd (US-49) to US-63/AR-1/Stadium Blvd/Joe N Martin Expy (US-49) due to roadwork.,,US-49 N,R,Jonesboro,Craighead,AR,72404,US,US/Central,KJBR,2021-11-19 15:53:00,49.0,47.0,50.0,30.09,10.0,ENE,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1856660,2,2021-02-18 17:28:00,2021-02-19 00:57:01,45.788773,-111.321518,45.787533,-111.320984,0.0894554594159,Roadwork from White Rd to Stagecoach Trail Rd.,4618.0,Churchill Rd,R,Manhattan,Gallatin,MT,59741-8139,US,US/Mountain,KBZN,2021-02-18 17:56:00,17.0,9.0,62.0,25.59,10.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1856661,2,2021-06-09 10:46:17,2021-12-07 03:47:58,33.494846,-112.081622,33.495643,-112.083485,0.120645250404,Slow traffic from N 6th Ave to W MacKenzie Dr due to roadwork.,,N 6th Ave,R,Phoenix,Maricopa,AZ,85013,US,US/Mountain,KPHX,2021-11-16 12:51:00,78.0,78.0,15.0,28.73,10.0,SSE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
