ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-2248204,2,2020-02-06 18:17:52,2020-02-10 18:14:46,40.4987,-75.49544,40.4987,-75.49544,0.0,At Vera Cruz Rd S - Roadwork. Right lane closed.,,I-476 S,R,Emmaus,Lehigh,PA,18049,US,US/Eastern,KXLL,2020-02-06 18:15:00,37.0,33.0,100.0,29.04,4.0,ENE,6.0,0.0,Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
C-2248205,3,2020-02-04 03:32:10,2020-02-04 04:59:00,33.598011,-117.677597,,,0.270000010729,Entry ramp to I-5 Southbound from La Paz Rd Westbound closed due to construction work.,,I-5 S,R,Laguna Hills,Orange,CA,92653,US,US/Pacific,KSNA,2020-02-04 03:53:00,52.0,52.0,13.0,29.99,10.0,NNE,22.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-2248207,2,2020-06-22 13:47:00,2020-09-10 18:13:02,41.022672,-77.89880500000002,41.02237,-77.898347,0.0317078653214,Roadwork on PA 144 both directions between THOMAS HILL RD and CHERRY RUN RD SNOW SHOE 22 PLAZA SNOW SHOE 22 PLAZA RD. There is a traffic disruption.,1198.0,E Sycamore Rd,R,Snow Shoe,Centre,PA,16874,US,US/Eastern,KUNV,2020-06-22 13:53:00,84.0,84.0,62.0,28.56,10.0,SSE,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2248208,2,2019-07-29 09:03:35,2019-08-02 09:03:11,41.96035,-72.19475,41.923,-72.26026999999998,4.242452115980002,Between CT-89/Exit 72 and Ruby Rd/Exit 71 - Construction work.,,I-84 W,R,Stafford Springs,Tolland,CT,06076,US,US/Eastern,KIJD,2019-07-29 08:52:00,80.0,80.0,67.0,29.74,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2248209,2,2020-07-30 21:00:00,2020-07-31 06:00:00,40.236359,-74.037849,,,0.0,Right lane blocked and right hand shoulder blocked due to construction work on NJ-35 Northbound at CR-40 Sunset Ave.,,State Highway 35,R,Asbury Park,Monmouth,NJ,07712,US,US/Eastern,KBLM,2020-07-30 20:56:00,83.0,83.0,94.0,29.66,10.0,SW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
C-2248210,2,2021-06-27 15:12:43,2021-06-27 18:29:35,39.001951,-77.348415,39.000843,-77.34491700000002,0.202826299392,Stationary traffic on VA-193 - VA-7 from Sugarland Rd to Seneca Rd due to roadwork.,11639.0,Leesburg Pike,L,Herndon,Fairfax County,VA,20170-2102,US,US/Eastern,KIAD,2021-06-27 14:52:00,90.0,90.0,55.0,29.82,10.0,S,14.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-2248211,2,2021-05-03 18:08:00,2021-08-12 16:45:00,40.094082,-80.526499,40.084269,-80.54518,1.19782893394,Slow traffic on I-70 W from WV--PA State Border (I-70) to CR-41/Dallas Pike/Exit 11 (I-70) due to roadwork.,,I-70 W,R,Valley Grove,Ohio,WV,26060,US,US/Eastern,KHLG,2021-05-03 18:16:00,67.0,67.0,90.0,28.37,0.75,S,15.0,0.22,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2248212,2,2020-11-05 16:00:00,2020-11-06 08:46:00,40.106434,-74.055073,40.106968,-74.05549599999998,0.0431392878597,Construction on NJ-35 NB near MANASQUAN RIVER BRG Construction. Right lane closed.,,Ashley Ave,R,Brielle,Monmouth,NJ,08730,US,US/Eastern,KBLM,2020-11-05 15:56:00,67.0,67.0,59.0,30.19,10.0,SSE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2248213,2,2021-07-07 07:04:14,2021-12-04 15:51:30,34.183046000000004,-118.325119,34.185131,-118.319047,0.37576633756,Slow traffic from N Buena Vista St (Burbank Blvd) to I-5 (Burbank Blvd) due to roadwork.,1200.0,W Burbank Blvd,L,Burbank,Los Angeles,CA,91506-1416,US,US/Pacific,KBUR,2021-12-04 15:53:00,66.0,66.0,52.0,29.25,5.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-2248214,2,2017-07-20 07:09:12,2017-07-20 13:11:10,40.98438,-78.30230999999998,40.998944,-78.322251,1.44710682495,At PA-970 - Roadwork. Lane blocked.,5699.0,Allport Cutoff,L,Woodland,Clearfield,PA,16881-8208,US,US/Eastern,KFIG,2017-07-20 06:54:00,64.0,,100.0,30.06,0.2,North,3.5,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
