ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-1749593,2,2021-07-01 16:16:34,2021-07-01 19:29:39,28.357449,-81.495717,28.355928,-81.49601700000002,0.10666238867,Slow traffic on FL-536 - FL-535 at International Dr S due to roadwork.,8275.0,World Center Dr,L,Orlando,Orange,FL,32821-5407,US,US/Eastern,KMCO,2021-07-01 15:53:00,84.0,84.0,74.0,29.87,10.0,E,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749594,2,2020-10-21 13:04:00,2020-10-21 15:25:30,40.998999,-73.654747,40.988076,-73.671441,1.15218518113,Slow traffic on I-95 S - I-287 W from Delavan Ave exit [2] to exit [21] due to roadwork.,,I-95 S,R,Greenwich,Fairfield,CT,06830,US,US/Eastern,KHPN,2020-10-21 12:56:00,64.0,64.0,90.0,29.78,1.0,S,8.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749595,2,2021-08-30 05:06:49,2021-09-06 03:00:18,28.804406,-82.57653,28.80277,-82.576523,0.113037628894,Roadwork on CR-490/W Homosassa Trl (US-98) from W Cardinal St (US-98) to County Hwy-490 - US-98 E - US-19 S.,3970.0,S Suncoast Blvd,R,Homosassa,Citrus,FL,34448-2629,US,US/Eastern,KCGC,2021-08-30 05:15:00,75.0,75.0,94.0,30.01,10.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1749596,4,2021-09-17 00:00:00,2021-09-24 00:45:00,39.751051,-104.932847,39.75467800000001,-104.932792,0.250618862431,Construction on N DEXTER ST NB near E 26TH AVE Expect delays.,2298.0,N Dexter St,R,Denver,Denver,CO,80207-3757,US,US/Mountain,KBKF,2021-09-17 00:39:00,68.0,68.0,26.0,24.41,10.0,N,17.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Night,Night,Night
C-1749597,2,2021-12-21 15:08:00,2021-12-21 15:18:30,27.597379,-99.495226,27.602675,-99.49568,0.3669731658030001,Slow traffic on US-83 N - I-35 N from Shiloh Dr (I-35) to TX-20 Loop/Exit 8 (I-35) due to roadwork.,,I-35 N,R,Laredo,Webb,TX,78045,US,US/Central,KLRD,2021-12-21 14:56:00,71.0,71.0,44.0,29.5,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749598,3,2018-07-19 17:00:00,2018-09-01 04:00:00,37.742181,-121.572966,37.71807,-121.66598,5.34889342602,Between Alameda/San Joaquin County Line and Flynn Rd - Narrow lanes. Queuing traffic. Roadwork. 2 left lanes blocked.,,I-580 W,R,Tracy,Alameda,CA,95391,US,US/Pacific,KLVK,2018-07-19 16:53:00,93.9,,28.0,29.81,10.0,WNW,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749599,2,2021-08-09 05:43:28,2021-08-16 03:05:37,38.567632,-81.273599,38.583984,-81.186177,4.855473825330001,Roadwork on US-119/Bufflick Rd/Exit 19 (I-79) from WV-36/Exit 34 (I-79) to I-79 N.,,I-79 N,R,Amma,Roane,WV,25005,US,US/Eastern,KCRW,2021-08-09 05:54:00,65.0,65.0,100.0,29.06,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
C-1749600,2,2019-12-11 11:35:00,2021-11-23 15:48:48,40.722449,-73.846129,40.722722,-73.848609,0.131226262925,Stationary traffic on NY-25 from 70th Rd to Gerard Pl due to roadwork.,,Queens Blvd,R,Forest Hills,Queens,NY,11375,US,US/Eastern,KLGA,2021-11-23 13:51:00,44.0,35.0,40.0,29.95,10.0,NW,23.0,0.0,Mostly Cloudy / Windy,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
C-1749601,2,2021-10-28 08:48:00,2021-10-28 09:13:30,32.870967,-97.340606,32.869211,-97.34239,0.159495108482,Slow traffic on FM-156 from Cloudcroft Ln to Rough Rider Ln due to roadwork.,1678.0,Basswood Blvd,L,Saginaw,Tarrant,TX,76131-4967,US,US/Central,KFWD,2021-10-28 08:53:00,61.0,61.0,35.0,29.07,10.0,WNW,22.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749602,2,2019-11-14 07:02:40,2019-11-18 07:02:33,42.57961,-71.19369,42.57491,-71.19275999999998,0.328168130277,At Hoover Rd - Construction work. Lane blocked.,411.0,South St,R,Tewksbury,Middlesex,MA,01876-3161,US,US/Eastern,KLWM,2019-11-14 06:54:00,18.0,18.0,74.0,30.33,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1749603,2,2021-02-14 07:44:00,2021-02-14 16:57:16,30.533272,-87.272824,30.532914,-87.273587,0.0517082374789,Slow traffic on US-90 Alt W - County Hwy-95A - County Hwy-95 - FL-10 from US-90 Alt to Duke Ave due to roadwork.,4.0,E Nine Mile Rd,L,Pensacola,Escambia,FL,32534-3133,US,US/Central,KPNS,2021-02-14 07:53:00,44.0,37.0,89.0,29.84,6.0,N,14.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1749604,2,2020-10-06 22:15:00,2020-10-06 23:29:30,30.32045,-90.977453,30.319551,-90.975634,0.125013590985,Slow traffic on LA-73 - LA-42 from Airline Hwy to Adams Ln due to roadwork.,37207.0,Highway 42,R,Prairieville,Ascension,LA,70769,US,US/Central,KL38,2020-10-06 21:53:00,74.0,74.0,66.0,29.96,10.0,NE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1749605,2,2021-12-30 17:37:40,2021-12-30 17:58:11,33.641568,-84.419084,33.640813,-84.418773,0.0551477094451999,Stationary traffic at M H Jackson Service Rd due to roadwork.,,Maynard H Jackson Jr Blvd,R,Atlanta,Clayton,GA,30320,US,US/Eastern,KATL,2021-12-30 17:52:00,65.0,65.0,93.0,28.81,2.0,SW,5.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1749606,2,2021-09-25 00:08:00,2021-09-25 02:51:38,33.446569000000004,-112.067301,33.447723,-112.065002,0.154674970285,Stationary traffic from N 5th St to E Washington St / N 7th St due to roadwork.,1.0,N 5th St,L,Phoenix,Maricopa,AZ,85004,US,US/Mountain,KPHX,2021-09-25 00:47:00,81.0,81.0,51.0,28.75,10.0,NW,8.0,0.07,Light Rain with Thunder,True,False,True,False,False,False,True,False,False,False,False,True,False,Night,Night,Night,Night
