ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-1581358,2,2016-09-15 06:56:49,2016-09-15 12:56:49,33.900065999999995,-118.057812,33.90226,-118.06128,0.250067327626,At Rosecrans Ave/Exit 120/Exit 120A - Roadwork.,,I-5 N,R,Santa Fe Springs,Los Angeles,CA,90670,US,US/Pacific,KFUL,2016-09-15 06:53:00,57.9,,81.0,30.0,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1581359,2,2021-09-15 15:25:00,2021-09-15 15:47:00,39.573605,-106.085091,39.577487,-106.092678,0.4849768168289999,Slow traffic on CO-9 from CR-980/Swan Mountain Rd (CO-9) to Main St (Summit Blvd/CO-9) due to roadwork.,,CO-9,R,Frisco,Summit,CO,80443,US,US/Mountain,KCCU,2021-09-15 16:53:00,70.0,70.0,14.0,20.89,10.0,NNW,12.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1581360,2,2021-02-17 21:52:00,2021-02-18 22:41:46,28.668886,-81.840551,28.667711,-81.838355,0.155930369687,Construction on FLORIDA'S TPKE SB near MM 288 Construction. Left lane closed.,,Florida's Tpke S,R,Howey in the Hills,Lake,FL,34737,US,US/Eastern,KLEE,2021-02-17 21:53:00,61.0,61.0,90.0,30.02,10.0,E,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1581361,4,2020-04-19 01:02:38,2020-04-19 06:02:07,42.45735,-83.09770999999998,42.48082,-83.11270999999998,1.79279364003,Closed between 8 Mile Rd/Exit 59 and I-696/Exit 61 - Closed due to roadwork. Roadway reduced to 2 lanes.,,Chrysler Expy S,R,Hazel Park,Oakland,MI,48030,US,US/Eastern,KDET,2020-04-19 00:53:00,48.0,42.0,52.0,29.12,10.0,SW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1581362,2,2020-09-03 14:27:30,2020-09-04 00:11:14,40.982311,-73.831337,40.980144,-73.83022199999998,0.160624243909,Queuing traffic from Jackson Ave (Fort Hill Rd) to NY-100/Central Park Ave (Fort Hill Rd) due to roadwork.,2.0,Butler Pl,R,Yonkers,Westchester,NY,10710-1017,US,US/Eastern,KHPN,2020-09-03 14:56:00,82.0,82.0,42.0,29.33,10.0,NNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581363,3,2019-05-03 04:28:45,2019-05-03 05:01:00,37.97588,-122.319481,,,0.259999990463,Entry ramp to I-80 Southbound from Hilltop Dr Eastbound closed due to construction.,,Hilltop Dr,R,San Pablo,Contra Costa,CA,94806,US,US/Pacific,KCCR,2019-05-03 04:53:00,51.0,51.0,68.0,29.89,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1581364,2,2020-03-04 20:32:23,2020-11-17 08:34:35,48.594535,-109.357706,48.595135,-109.330446,1.24638902115,Construction on US-2 EB near HAVRE Allow extra time.,1.0,Yantic Rd,L,Chinook,Blaine,MT,59523,US,US/Mountain,KHVR,2020-03-04 20:53:00,28.0,23.0,69.0,27.36,10.0,WNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1581365,4,2016-04-01 09:00:00,2016-04-01 15:00:00,40.63874000000001,-74.14359,40.64204,-74.14218000000002,0.239692834379,Closed between Innis St and New York/New Jersey State Line - Closed due to roadwork.,,Bayonne Brg N,R,Staten Island,Richmond,NY,10303,US,US/Eastern,KEWR,2016-04-01 08:51:00,68.0,,87.0,29.63,10.0,SSW,18.4,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581366,2,2020-12-14 17:23:30,2020-12-14 22:25:06,41.101377,-81.510982,41.102159,-81.50999,0.0747456150898,Slow traffic on OH-261 from E Glenwood Ave (N Main St/OH-261) to OH-59/OH-8/Gorge Blvd (E Tallmadge Ave/OH-261) due to roadwork.,596.0,N Main St,L,Akron,Summit,OH,44310-3145,US,US/Eastern,KAKR,2020-12-14 16:54:00,33.0,22.0,54.0,29.0,10.0,WNW,18.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
C-1581367,2,2021-03-05 03:23:30,2021-12-12 19:54:00,33.321247,-111.911216,33.319276,-111.91122,0.136183325749,Slow traffic from E Warner Rd (S McClintock Dr) to W Chandler Blvd (N McClintock Dr) due to roadwork.,,N McClintock Dr,R,Chandler,Maricopa,AZ,85226,US,US/Mountain,KCHD,2021-03-26 07:47:00,52.0,52.0,58.0,28.56,10.0,SSE,10.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-1581368,2,2021-05-06 06:18:30,2021-05-06 17:48:35,33.495199,-112.010253,33.495682,-112.01299,0.161195683522,Stationary traffic from N 33rd St to E Monterosa St due to roadwork.,3301.0,E Indian School Rd,R,Phoenix,Maricopa,AZ,85018-5013,US,US/Mountain,KPHX,2021-05-06 05:51:00,72.0,72.0,26.0,28.72,10.0,SE,5.0,0.0,Fair,True,False,False,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,Day
C-1581369,3,2020-10-14 09:00:00,2020-10-14 18:00:00,38.161678,-84.542183,,,0.8100000023839999,Road closed due to maintenance work on KY-1963 Lisle Rd both ways from Jodhpur Ln to Village Dr.,1048.0,Lisle Rd,L,Georgetown,Scott,KY,40324-8801,US,US/Eastern,KLEX,2020-10-14 08:54:00,49.0,46.0,80.0,29.06,10.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581370,2,2021-08-31 14:41:19,2021-08-31 15:26:43,28.467961,-81.367736,28.474283000000003,-81.367861,0.436874572569,Stationary traffic on FL-527 from FL-482/Sand Lake Rd/McCoy Rd (FL-527) to W Holden Ave (FL-527) due to roadwork.,6379.0,S Orange Ave,L,Orlando,Orange,FL,32809-5111,US,US/Eastern,KMCO,2021-08-31 14:53:00,93.0,93.0,54.0,29.78,10.0,SW,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581371,2,2021-05-19 18:11:59,2021-05-19 19:11:30,40.6309,-73.992825,40.633148,-73.990496,0.197582345927,Stationary traffic from 65th St (14th Ave) to Church Ave (14th Ave) due to roadwork.,5398.0,14th Ave,R,Brooklyn,Kings,NY,11219-3944,US,US/Eastern,KJRB,2021-05-19 17:51:00,84.0,,26.0,30.17,10.0,,,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1581372,2,2021-07-17 18:09:46,2021-07-17 18:29:46,40.696196,-73.933858,40.697669,-73.936485,0.1711598968919999,Slow traffic from Kossuth Pl/Lafayette Ave (Broadway) to Flushing Ave (Broadway) due to roadwork.,992.0,Broadway,R,Brooklyn,Kings,NY,11221-2428,US,US/Eastern,KJRB,2021-07-17 17:51:00,79.0,79.0,88.0,29.84,5.0,CALM,0.0,0.0,Fair,True,False,False,False,False,False,True,False,True,True,False,False,False,Day,Day,Day,Day
C-1581373,2,2021-06-23 07:30:00,2021-06-23 18:55:25,40.087451,-80.508299,40.083372,-80.507434,0.285517374668,Utility work on OLD BRICK RD / MAIN ST both directions between 1 miles NORTH of MIDDLE CREEK RD and GREAVES RD. There is a lane restriction.,779.0,Old Brick Rd,R,West Alexander,Washington,PA,15376-2236,US,US/Eastern,KHLG,2021-06-23 07:53:00,53.0,53.0,77.0,28.92,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581374,2,2016-09-01 07:00:39,2016-09-01 15:30:00,41.296444,-72.917793,,,0.0,Intermittent lane closures due to construction work on Sargent Dr both ways from Brewery St to Canal Dock Rd.,502.0,Sargent Dr,L,New Haven,New Haven,CT,06511-6109,US,US/Eastern,KHVN,2016-09-01 06:53:00,72.0,,91.0,29.85,10.0,NNW,3.5,0.0,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-1581375,2,2018-04-30 08:06:00,2018-04-30 17:00:00,40.252247,-74.733727,,,2.63000011444,Right hand shoulder closed due to construction work on US-1 Bus Southbound between Carnegie Rd and County Hwy-616 Whitehead Rd.,,US-1 Bus N,R,Lawrence Township,Mercer,NJ,08648,US,US/Eastern,KTTN,2018-04-30 07:53:00,46.0,41.4,44.0,30.05,10.0,West,9.2,,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581376,2,2021-04-09 05:18:30,2021-08-08 12:55:00,27.99631,-82.548121,27.996281,-82.546308,0.110625589256,Slow traffic on FL-580 from Hanley Rd (FL-580) to FL-589/Veterans Expy (FL-580) due to roadwork.,6006.0,W Hillsborough Ave,L,Tampa,Hillsborough,FL,33634,US,US/Eastern,KTPA,2021-04-09 04:53:00,68.0,68.0,73.0,29.97,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-1581377,2,2021-09-03 19:32:06,2021-09-03 19:52:06,42.302211,-75.500562,42.300762,-75.49534799999998,0.284636390341,Stationary traffic on NY-206 from CR-17 (NY-206) to NY-7/N Main St (NY-206) due to roadwork.,4085.0,State Highway 206,R,Bainbridge,Chenango,NY,13733-3204,US,US/Eastern,KBGM,2021-09-03 06:58:00,,,,28.36,6.0,,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-1581378,2,2021-04-15 09:04:30,2021-04-15 13:42:31,32.103496,-101.859893,32.115676,-101.829572,1.96395916291,Slow traffic on I-20 E from FM-829/Exit 151 (I-20) to I-20/Exit 154 (I-20) due to roadwork.,,I-20 E,R,Stanton,Martin,TX,79782,US,US/Central,KBPG,2021-04-15 08:55:00,49.0,45.0,98.0,27.33,2.0,ENE,10.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-1581379,2,2021-03-20 22:52:30,2021-12-14 01:45:58,40.681932,-73.72874300000002,40.679329,-73.730451,0.200886466017,Stationary traffic from 128th Ave to 130th Ave due to roadwork.,23775.0,128th Ave,L,Rosedale,Queens,NY,11422,US,US/Eastern,KJFK,2021-06-24 19:51:00,67.0,67.0,54.0,30.32,10.0,E,10.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,True,True,False,True,False,Night,Night,Night,Night
C-1581380,2,2021-10-23 16:29:30,2021-10-23 18:39:31,39.68221,-105.083075,39.681,-105.08154,0.116840862331,Slow traffic on CO-121 from S Allison St to W Evans Ave due to roadwork.,7814.0,W Jewell Ave,L,Lakewood,Jefferson,CO,80232-6808,US,US/Mountain,KAPA,2021-10-23 16:53:00,64.0,64.0,14.0,23.88,10.0,E,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
