ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-2887546,2,2020-06-20 10:50:00,2020-06-24 10:49:22,38.78708,-90.53555,38.75552,-90.45882,4.67328293166,Between Zumbehl Rd/Exit 227 and Earth City Expy/Exit 231 - Construction work.,,I-70 E,R,Saint Charles,St. Charles,MO,63303,US,US/Central,KSUS,2020-06-20 10:54:00,84.0,84.0,58.0,29.47,7.0,SSW,8.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887547,2,2021-11-18 14:57:00,2021-11-18 17:10:54,28.595112,-81.36510799999998,28.593046,-81.36449499999998,0.147511646767,Stationary traffic on US-92 E - FL-424A - US-17 N - FL-426 - US-92 W - US-17 S from N Orlando Ave to Ward Ave due to roadwork.,358.0,S Orlando Ave,L,Winter Park,Orange,FL,32789,US,US/Eastern,KORL,2021-11-18 14:53:00,77.0,77.0,84.0,30.02,10.0,ENE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887548,2,2020-09-23 16:00:00,2020-10-12 22:45:00,42.44364,-83.255735,42.442592,-83.298873,2.20068303162,Construction on 8 MILE RD WB near LAHSER RD Construction. Left lane closed.,21720.0,W 8 Mile Rd,R,Southfield,Oakland,MI,48075-5669,US,US/Eastern,KVLL,2020-09-23 15:55:00,80.0,80.0,46.0,29.21,10.0,WNW,8.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887549,2,2021-12-16 17:16:30,2021-12-16 19:49:32,41.648433,-91.540203,41.64595900000001,-91.540236,0.170945610929,Slow traffic on IA-1 - US-6 E from Highway 1 W / US Highway 6 to Airport Rd due to roadwork.,1019.0,Cole's Mobile Home Ct,R,Iowa City,Johnson,IA,52246,US,US/Central,KIOW,2021-12-16 16:52:00,37.0,29.0,46.0,29.33,10.0,W,13.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day
C-2887550,4,2020-04-14 20:55:43,2020-04-18 20:55:42,34.19964,-118.33784,34.1979,-118.33789,0.120256500381,Closed at N Victory Pl/N Lincoln St - Closed due to roadwork.,2552.0,Winona Ave,L,Burbank,Los Angeles,CA,91504,US,US/Pacific,KBUR,2020-04-14 20:53:00,70.0,70.0,21.0,29.25,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-2887551,4,2021-12-29 23:01:00,2021-12-30 05:46:00,37.777787,-122.400301,37.782417,-122.395871,0.401076485811,Construction on I-80 EB near STERLING ST Take alternate route.,508.0,5th St,R,San Francisco,San Francisco,CA,94107-1029,US,US/Pacific,KOAK,2021-12-29 22:53:00,44.0,40.0,85.0,29.9,10.0,NE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-2887552,2,2019-03-28 09:00:00,2019-03-28 15:00:00,41.932144,-88.037926,,,24.5900001526,Right hand shoulder closed due to construction work on I-355 both ways between Exits 20 22 I-88 and Exit 29 CR-11 Army Trail Rd.,,I-355 S,R,Addison,DuPage,IL,60101,US,US/Central,KORD,2019-03-28 08:51:00,52.0,,63.0,30.01,10.0,SW,15.0,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887553,1,2020-07-01 00:00:00,2021-06-01 00:00:00,29.92531,-90.071541,,,0.0,Road closed intermittently due to sewer works water main work and drainage works on Rousseau St Eastbound from Jackson Ave to Josephine St.,2099.0,Rousseau St,R,New Orleans,Orleans,LA,70130-1911,US,US/Pacific,KAUD,2020-07-01 00:55:00,78.0,78.0,96.0,29.94,9.0,SW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-2887554,2,2020-10-09 03:09:00,2020-10-09 05:34:00,40.492423,-79.94909,40.497004,-79.935579,0.777275135191,Slow traffic on PA-28 from Butler St/Exit 4 (PA-28) to PA-8/Exit 5B &amp; 5 (PA-28) due to roadwork.,,PA-28 N,R,Pittsburgh,Allegheny,PA,15223,US,US/Eastern,KAGC,2020-10-09 02:53:00,48.0,44.0,74.0,28.84,10.0,SSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-2887555,2,2021-01-19 13:34:00,2021-01-20 03:20:54,33.569128000000006,-112.099614,33.567605,-112.100332,0.113056769143,Slow traffic from W Mission Ln to N 22nd Ave due to roadwork.,9099.0,N 19th Ave,R,Phoenix,Maricopa,AZ,85021-2909,US,US/Mountain,KDVT,2021-01-19 13:53:00,66.0,66.0,38.0,28.27,10.0,ENE,9.0,0.0,Fair,True,False,True,False,False,False,True,False,True,True,False,False,False,Day,Day,Day,Day
C-2887556,2,2021-06-04 10:15:00,2021-06-04 17:45:00,47.978414,-122.13769,47.977983,-122.137683,0.0297810237799,On SR 204 eastbound &amp; westbound at US 2 (MP 0 to MP 2.4) there is a slow-moving maintenance operation affecting the right lane.,,State Route 204,R,Lake Stevens,Snohomish,WA,98258,US,US/Pacific,KAWO,2021-06-04 09:56:00,59.0,59.0,62.0,29.95,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887557,2,2021-03-10 12:29:30,2021-11-18 15:27:30,25.685995,-80.416675,25.685394,-80.417583,0.0701486055511,Roadwork on SW 86th St from SW 137th Ct to FL-94.,8734.0,SW 137th Ave,R,Miami,Miami-Dade,FL,33183,US,US/Eastern,KTMB,2021-11-18 14:56:00,76.0,76.0,91.0,30.06,3.0,WNW,10.0,0.01,T-Storm,False,False,True,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
C-2887558,4,2021-03-01 03:15:00,2021-12-31 11:57:12,40.865844,-124.09143799999998,40.866061,-124.092463,0.0556167329455,Full closure due to Utility Work between K St and Route 255,1098.0,Samoa Blvd,R,Arcata,Humboldt,CA,95521-6606,US,US/Pacific,KACV,2021-10-19 06:53:00,46.0,46.0,86.0,29.67,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,True,False,False,False,False,True,False,Night,Night,Night,Night
C-2887559,2,2021-11-18 07:18:00,2021-11-18 07:40:00,30.233602,-92.091858,30.234214,-92.09384,0.12564493029,Slow traffic on US-90 E - US-90 W - US-93 E - US-93 W - LA-93 from Elizabeth St to Saint Mary St due to roadwork.,5635.0,Cameron St,R,Scott,Lafayette,LA,70583-5200,US,US/Central,KLFT,2021-11-18 06:53:00,66.0,66.0,93.0,30.12,3.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2887560,2,2021-08-19 11:01:31,2021-08-19 13:02:39,25.938643,-80.277385,25.939755,-80.27815,0.0903459729416999,Slow traffic on FL-847 - FL-860 from NW 181st Ter to NW 48th Pl due to roadwork.,18197.0,NW 47th Ave,R,Miami Gardens,Miami-Dade,FL,33055-2931,US,US/Eastern,KOPF,2021-08-19 10:53:00,88.0,88.0,63.0,30.1,10.0,ENE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
C-2887561,4,2016-05-22 05:30:59,2016-05-23 06:00:00,34.05901,-118.17657,34.06022,-118.17329,0.205522446019,Ramp closed to I-710 and W Ramona Blvd - Closed due to roadwork.,,I-10 E,R,Los Angeles,Los Angeles,CA,90063,US,US/Pacific,KCQT,2016-05-22 05:47:00,57.0,,67.0,30.04,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
