ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-6262843,2,2020-09-09 15:02:00.000000000,2020-09-09 21:40:34.000000000,40.781929,-89.77084,40.738345,-89.6378,7.58593262597,Roadwork on I-74 from CR-10/Maher Rd/Exit 75 (I-74) to US-150/War Memorial Dr/Exit 89 (I-74).,,I-74 E,R,Brimfield,Peoria,IL,61517,US,US/Central,KPIA,2020-09-09 14:54:00,70.0,70.0,81.0,29.49,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-6262844,2,2020-06-22 22:16:37.000000000,2020-06-24 05:00:00.000000000,38.57003,-121.60123,38.61989000000001,-121.52657,5.3031273102,Between Chiles Rd/County Road 32 and I-5/CA-99 - Construction work.,,I-80 E,R,Davis,Yolo,CA,95618,US,US/Pacific,KEDU,2020-06-22 22:10:00,73.0,73.0,57.0,29.75,10.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
C-6262845,2,2017-10-18 10:28:23.000000000,2017-10-19 10:00:00.000000000,42.264046,-88.17896999999998,,,1.1100000143100002,Intermittent lane closures due to construction work on County Hwy-44 Darrell Rd Southbound from County Hwy-61 Bonner Rd to IL-176.,27601.0,N Darrell Rd,L,Wauconda,Lake,IL,60084,US,US/Central,KPWK,2017-10-18 10:52:00,63.0,,52.0,30.14,10.0,SSW,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-6262846,4,2020-10-31 03:03:20.000000000,2020-10-31 13:48:00.000000000,45.540525,-122.679773,45.54173,-122.672789,0.348079420834,Construction on US-30 NB near MP 3 Use alternate exit ramp.,,US-30 E,R,Portland,Multnomah,OR,97227,US,US/Pacific,KPDX,2020-10-31 02:53:00,43.0,40.0,86.0,30.31,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-6262847,4,2020-05-18 23:01:10.000000000,2020-05-19 01:01:10.000000000,42.35807,-71.09063,42.35807,-71.09063,0.0,At RT-2A/Massachusetts Ave - Resurfacing work.,298.0,Memorial Dr,R,Cambridge,Middlesex,MA,02139,US,US/Eastern,KBOS,2020-05-18 22:54:00,47.0,45.0,90.0,30.19,10.0,NE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-6262848,2,2021-12-30 08:01:00.000000000,2021-12-30 10:10:02.000000000,40.685916,-76.19357,40.683854,-76.192116,0.161559282328,Roadwork on PA 61 southbound at NORWEGIAN ST. There is a lane restriction.,300.0,E Norwegian St,L,Pottsville,Schuylkill,PA,17901-3605,US,US/Eastern,KRDG,2021-12-30 07:54:00,45.0,45.0,97.0,29.56,1.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-6262849,4,2018-11-30 20:03:06.000000000,2018-12-01 01:02:26.000000000,29.74129000000001,-95.35585,29.74353,-95.35911,0.249403034813,Closed at US-59/TX-288/Exit 46 - Closed due to roadwork.,,I-45 N,R,Houston,Harris,TX,77003,US,US/Central,KMCJ,2018-11-30 19:55:00,73.4,,94.0,29.67,7.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-6262851,2,2021-12-10 17:05:19.000000000,2021-12-10 19:39:05.000000000,27.8211,-82.675887,27.822206,-82.679473,0.232070492817,Slow traffic on US-19 N from 31st St N to 58th Ave N due to roadwork.,3120.0,54th Ave N,L,Saint Petersburg,Pinellas,FL,33714-2420,US,US/Eastern,KSPG,2021-12-10 16:53:00,77.0,77.0,79.0,30.06,10.0,SSE,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-6262852,2,2019-05-20 00:00:00.000000000,2019-05-25 00:00:00.000000000,40.89419,-84.62455,40.894207,-84.624625,0.0040894944643899,At under U.S. 224 - Roadwork.,,US Highway 30,R,Van Wert,Van Wert,OH,45891,US,US/Eastern,KAOH,2019-05-20 00:53:00,63.0,63.0,87.0,28.78,10.0,SW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-6262853,3,2019-07-18 05:32:58.000000000,2019-07-23 05:30:27.000000000,44.984737,-93.559104,44.9781,-93.5424,0.936342197376,At US-12 - Construction work.,339.0,Wolf Pointe Trl,L,Long Lake,Hennepin,MN,55356-4301,US,US/Central,KMIC,2019-07-19 05:53:00,70.0,70.0,100.0,28.79,1.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-6262854,2,2021-04-07 06:17:00.000000000,2021-04-07 11:56:38.000000000,26.167258,-80.1117,26.167547,-80.100466,0.696928858781,Stationary traffic on FL-816 from US-1/FL-5/N Federal Hwy (NE 31st St/E Oakland Park Blvd/FL-816) to FL-A1A/N Ocean Blvd (NE 31st St/E Oakland Park Blvd/FL-816) due to roadwork.,,E Oakland Park Blvd,R,Fort Lauderdale,Broward,FL,33306,US,US/Eastern,KFXE,2021-04-07 05:53:00,59.0,59.0,93.0,30.04,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,True,False,Night,Night,Day,Day
C-6262855,2,2019-05-20 22:04:32.000000000,2019-05-26 22:01:56.000000000,33.63089,-84.38671,33.63327,-84.3891,0.2143485109039999,At I-285/GA-407 - Construction work. Right lane blocked.,,Old Dixie Hwy,R,Forest Park,Clayton,GA,30297,US,US/Eastern,KATL,2019-05-21 21:52:00,82.0,82.0,52.0,28.87,10.0,SSE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
C-6262856,4,2021-06-29 07:00:00.000000000,2021-06-29 15:15:00.000000000,42.583651,-76.586752,42.58975,-76.592274,0.506445190841,Construction on NY-34B NB near LANSING STATION RD Road closed. Take alternate route.,1170.0,Ridge Rd,R,Lansing,Tompkins,NY,14882-8812,US,US/Eastern,KITH,2021-06-29 06:56:00,71.0,71.0,93.0,29.08,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
