ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-3220969,2,2021-11-08 19:38:30,2021-11-08 20:01:30,26.936793,-81.12227299999998,26.967265,-81.119303,2.11334577846,Slow traffic on FL-78 from US-27/FL-25 (Moore Haven) (East) (FL-78) to St Road 74/Old Lakeport Rd (FL-78) due to roadwork.,1333.0,E State Road 78,R,Moore Haven,Glades,FL,33471,US,US/Eastern,KOBE,2021-11-08 19:35:00,64.0,64.0,77.0,30.12,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3220971,2,2020-08-07 13:00:00,2020-08-08 01:45:00,36.76185200000001,-120.386643,36.761038,-120.386652,0.0562442498382,Construction on CA-33 SB near CA-180 Expect delays.,222.0,Derrick Ave,R,Mendota,Fresno,CA,93640-2001,US,US/Pacific,KMAE,2020-08-07 12:53:00,86.0,86.0,37.0,29.63,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3220972,2,2020-12-23 23:29:31,2020-12-24 00:21:16,35.52822000000001,-93.922395,35.52826,-93.895044,1.53795584087,Slow traffic on I-40 E from AR-215/Exit 24 (I-40) to AR-23/Exit 35 (I-40) due to roadwork.,,I-40 E,R,Ozark,Franklin,AR,72949,US,US/Central,KFSM,2020-12-23 23:53:00,32.0,21.0,54.0,29.66,10.0,NW,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3220973,2,2021-05-18 04:52:30,2021-09-27 13:59:30,40.449948,-75.903521,40.447777,-75.897413,0.354457042809,Slow traffic on PA-73 from PA-61/Pottsville Pike (Lake Shore Dr/PA-73) to Park Rd (Main St/PA-73) due to roadwork.,48.0,Lake Shore Dr,L,Fleetwood,Berks,PA,19522-8503,US,US/Eastern,KRDG,2021-05-18 04:54:00,48.0,48.0,93.0,29.93,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
C-3220974,2,2018-11-08 16:00:00,2018-11-09 07:00:00,39.528861,-84.312437,39.530751,-84.310299,0.173304501079,At Austin Blvd - Roadwork.,,I-75 N,R,Franklin,Warren,OH,45005,US,US/Eastern,KMGY,2018-11-08 15:53:00,44.1,39.0,58.0,30.32,10.0,ENE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3220975,4,2018-10-02 21:03:14,2018-10-06 21:03:08,42.22143,-83.68502,42.22466,-83.68086,0.308400842641,Ramp closed to I-94 Eastbound - Closed due to roadwork.,,I-94 Bus W,R,Ypsilanti,Washtenaw,MI,48197,US,US/Eastern,KYIP,2018-10-02 20:53:00,61.0,,87.0,30.09,10.0,North,8.1,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3220976,2,2020-09-17 13:43:00,2020-09-18 03:39:39,42.486329,-83.46615600000001,42.487545,-83.4759,0.5035318342239999,Slow traffic from exit [162] to I-96 W due to bridge maintenance work.,,I-96 W,R,Novi,Oakland,MI,48377,US,US/Eastern,KPTK,2020-09-17 13:53:00,65.0,65.0,39.0,29.08,10.0,N,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3220977,2,2017-06-21 20:37:21,2017-06-22 02:37:21,39.26881,-76.63086,39.27046,-76.62253,0.459928729085,Ramp to Exit 53 - Construction work.,,I-95 N,R,Baltimore,Baltimore City,MD,21230,US,US/Eastern,KDMH,2017-06-21 20:54:00,75.9,,71.0,29.96,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-3220978,2,2019-07-07 00:01:05,2019-07-11 00:00:41,25.786029,-80.19233,25.787587,-80.19239,0.107712247095,Between I-395/NE 11th St/NE 12th St and NE 13th St - Construction work. Left lane blocked.,4.0,NE 12th St,R,Miami,Miami-Dade,FL,33132,US,US/Eastern,KMIA,2019-07-07 00:53:00,80.0,80.0,85.0,30.06,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-3220979,2,2016-08-01 20:01:49,2016-08-02 02:01:49,42.1304,-88.00582,42.12879,-88.00375,0.153705389442,At Rand Rd - Construction work.,,N Frontage Rd,R,Palatine,Cook,IL,60074,US,US/Central,KPWK,2016-08-01 19:52:00,75.0,,71.0,30.06,10.0,East,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
