ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-2740683,2,2021-09-09 16:24:48.000000000,2021-12-13 03:24:18.000000000,36.55382,-88.989783,36.55413,-89.00837299999998,1.03201336513,Roadwork on KY-781 (KY-94) from KY-1129 (KY-94) to KY-94 - KY-781.,2623.0,State Route 94 E,L,Fulton,Fulton,KY,42041,US,US/Central,KUCY,2021-12-13 01:15:00,34.0,27.0,70.0,29.9,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2740684,3,2017-02-14 11:02:13.000000000,2017-02-24 21:02:58.000000000,41.60125900000001,-87.85861700000002,41.60067,-87.8914,1.6942931507,At IL-7/W 159th St/Wolf Rd - Roadwork.,9852.0,W 159th St,L,Orland Park,Cook,IL,60462,US,US/Central,KMDW,2017-02-14 10:53:00,44.1,39.0,53.0,29.86,10.0,West,9.2,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-2740685,2,2021-11-19 11:40:30.000000000,2021-11-19 14:17:00.000000000,25.925994,-80.15794100000002,25.925485,-80.15589200000002,0.132092487882,Stationary traffic on FL-826 - FL-909 from NE 21st Ave to NE 162nd St due to roadwork.,2098.0,NE 163rd St,R,North Miami Beach,Miami-Dade,FL,33162-4902,US,US/Eastern,KHWO,2021-11-19 11:34:00,81.0,81.0,72.0,30.06,10.0,ENE,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2740686,2,2021-08-26 08:52:00.000000000,2021-08-26 10:57:03.000000000,45.224229,-93.398629,45.22492,-93.396255,0.125006190175,Slow traffic on County Hwy-116 from Sunfish Lake Blvd (CR-116) to 7th Ave (CR-116) due to roadwork.,,Bunker Lake Blvd NW,R,Anoka,Anoka,MN,55303,US,US/Central,KANE,2021-08-26 08:45:00,66.0,66.0,68.0,29.18,10.0,NE,5.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
C-2740687,2,2020-12-31 20:33:00.000000000,2021-01-01 01:30:09.000000000,34.919178,-83.729265,34.918387,-83.729268,0.0546531591416,Roadwork on US-76/GA-2 (GA-75) from GA-180 (GA-75) to GA-75 - GA-17.,2139.0,Highway 76 E,R,Hiawassee,Towns,GA,30546-4017,US,US/Eastern,KDZJ,2020-12-31 20:35:00,53.0,53.0,94.0,28.32,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-2740688,2,2021-12-08 15:17:32.000000000,2021-12-08 15:50:55.000000000,27.266475,-82.415261,27.269819,-82.421157,0.429537809542,Stationary traffic on FL-72 from Aventura Dr to Trillium Blvd due to roadwork.,7787.0,State Road 72,R,Sarasota,Sarasota,FL,34241-9618,US,US/Eastern,KSRQ,2021-12-08 14:53:00,76.0,,79.0,29.97,10.0,,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-2740689,3,2019-12-19 22:19:01.000000000,2019-12-23 22:17:43.000000000,43.90156,-116.20308,43.90517,-116.20098,0.270450093457,At ID-52/N Riverside Dr - Bridge maintenance work.,2.0,Old Emmett Rd,R,Horseshoe Bend,Boise,ID,83629-8014,US,US/Mountain,KBOI,2019-12-19 21:53:00,42.0,34.0,67.0,27.16,10.0,ESE,16.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-2740690,2,2021-09-24 12:00:30.000000000,2021-09-24 12:23:00.000000000,25.945405,-80.14745500000002,25.947573,-80.148077,0.154698998493,Slow traffic on US-1 N - FL-860 - FL-5 from NE 183rd St to W Dixie Hwy due to roadwork.,,NE 183rd St,R,Miami,Miami-Dade,FL,33180,US,US/Eastern,KHWO,2021-09-24 11:53:00,88.0,88.0,61.0,29.97,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-2740691,2,2021-10-23 21:12:30.000000000,2021-10-23 21:57:00.000000000,34.059605,-118.440744,34.057776000000004,-118.447757,0.420855372545,Slow traffic from Manning Ave (Wilshire Blvd) to I-405/San Diego Fwy (Wilshire Blvd) due to roadwork.,10828.0,Wilshire Blvd,L,Los Angeles,Los Angeles,CA,90024-4303,US,US/Pacific,KSMO,2021-10-23 20:51:00,60.0,60.0,86.0,29.69,10.0,SSW,6.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Night,Night,Night
C-2740692,2,2020-12-08 20:16:00.000000000,2020-12-09 21:07:02.000000000,40.819378,-76.467287,40.861596,-76.549198,5.18082692553,Construction on PA-54 WB near PINE ST Allow extra time.,,State Route 54,R,Mount Carmel,Northumberland,PA,17851,US,US/Eastern,KSEG,2020-12-08 19:53:00,34.0,34.0,59.0,29.42,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
