ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-170616,2,2020-03-16 22:00:30,2020-03-18 06:00:00,39.70514,-74.27445,39.70503,-74.27435,0.00927471635237,At US-9/Main St - Construction work.,1207.0,Doc Cramer Blvd,L,Manahawkin,Ocean,NJ,08050-3953,US,US/Eastern,KMJX,2020-03-16 21:56:00,42.0,39.0,79.0,30.36,10.0,ESE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-170617,3,2017-03-06 10:00:00,2017-03-06 15:00:00,40.82233,-72.975143,,,3.92,Intermittent lane closures due to construction work on I-495 Long Island Expy both ways between Exit 66 County Road 101 and Exit 65 County Hwy-16 Horseblock Rd.,,Horseblock Rd,R,Medford,Suffolk,NY,11763,US,US/Eastern,KISP,2017-03-06 09:56:00,34.0,31.0,27.0,30.54,10.0,Variable,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-170618,2,2019-10-09 07:04:36,2019-10-15 07:01:50,41.75354,-86.11101,41.7601,-86.08832,1.25425265521,At Evergreen Blvd/IN/MI State Line - Construction work. look out for flagman.,12499.0,State Road 23,R,Granger,St. Joseph,IN,46530-7525,US,US/Eastern,KEKM,2019-10-09 06:43:00,46.0,46.0,100.0,29.37,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
C-170619,2,2020-11-02 00:57:00,2020-11-02 08:57:58,35.156811,-97.476834,35.153668,-97.476821,0.217161859365,Roadwork on I-35/OK-9 (W Adkins Hill Rd/OK-74) from I-35 (Washington) (N Main Ave/OK-74) to OK-74.,27598.0,State Highway 74,R,Washington,McClain,OK,73093-4794,US,US/Central,KOUN,2020-11-02 00:55:00,38.0,38.0,86.0,29.2,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
C-170620,2,2020-10-26 13:14:30,2020-10-27 03:42:38,33.395439,-111.805433,33.393359999999994,-111.8047,0.149739390467,Queuing traffic from E Emerald Ave to S Doran due to roadwork.,1100.0,S Stapley Dr,R,Mesa,Maricopa,AZ,85204-5003,US,US/Mountain,KFFZ,2020-10-26 12:51:00,65.0,65.0,12.0,28.65,10.0,WSW,20.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
C-170621,2,2021-06-17 13:53:42,2021-06-17 14:23:00,43.266471,-72.605967,43.269963,-72.622821,0.881593086601,Stationary traffic on VT-11 from VT-35/Depot St/Grafton Rd (Main St/VT-11) to Weston-Andover Rd (VT-11) due to roadwork.,606.0,Main St,R,Chester,Windsor,VT,05143-9362,US,US/Eastern,KVSF,2021-06-17 13:54:00,73.0,73.0,29.0,29.3,10.0,WNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-170622,2,2021-10-20 14:09:00,2021-10-20 16:30:16,25.588518,-80.384023,25.591,-80.380735,0.267190525543,Slow traffic on FL-994 from Burr Rd/SW 127th Ave (Quail Roost Dr/FL-994) to FL-821/Florida's Tpke (Quail Roost Dr/FL-994) due to roadwork.,11888.0,Quail Roost Dr,L,Miami,Miami-Dade,FL,33177-3957,US,US/Eastern,KTMB,2021-10-20 13:53:00,84.0,84.0,55.0,30.12,10.0,E,18.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-170623,3,2019-07-23 13:07:13,2019-07-27 13:03:25,39.15175900000001,-86.390132,39.15362,-86.406766,0.900470932457,At IN-446 - Roadwork. Lane blocked.,8865.0,E State Road 46,L,Bloomington,Monroe,IN,47408,US,US/Eastern,KBMG,2019-07-23 12:53:00,77.0,77.0,48.0,29.2,10.0,N,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-170624,2,2018-07-30 09:58:26,2018-09-20 07:00:00,40.682919,-74.857887,,,0.0399999991059,Road closed due to construction on County Hwy-639 Cokesbury Rd both ways between Mount Grove Rd and David Post Rd.,370.0,Cokesbury Rd,R,Annandale,Hunterdon,NJ,08801-2041,US,US/Eastern,KSMQ,2018-07-30 09:53:00,73.9,,76.0,30.14,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-170625,2,2021-02-18 21:00:00,2021-02-19 06:45:00,29.833698,-94.383901,29.858099,-94.357489,2.31254181219,Construction on I-10 EB near FM-1663 Drive with caution.,,I-10 E,R,Winnie,Chambers,TX,77665,US,US/Central,KBMT,2021-02-18 20:55:00,35.0,26.0,82.0,30.36,10.0,NNW,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
