ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-62517,2,2021-05-27 19:00:00,2021-06-04 04:00:00,32.801143,-96.674006,32.79481,-96.722102,2.82742873341,Roadwork on Big Town Blvd/Exit 54 (I-30) from Ferguson Rd/Exit 50 (I-30) to R L Thornton Fwy W - US-67 S - I-30 W.,,I-30 W,R,Dallas,Dallas,TX,75228,US,US/Central,KDAL,2021-05-27 18:53:00,87.0,87.0,53.0,29.32,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-62518,4,2020-12-17 17:00:00,2020-12-18 01:45:00,31.96268400000001,-95.225034,31.956569,-95.222145,0.455183876083,Construction on TX-204 SB near US-79 Expect delays.,999.0,E Loop 456,L,Jacksonville,Cherokee,TX,75766,US,US/Central,KJSO,2020-12-17 16:55:00,53.0,53.0,49.0,29.54,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-62519,2,2021-06-03 00:58:00,2021-06-03 01:53:00,42.687603,-123.392118,42.637023,-123.385858,3.5091889283599995,Slow traffic on OR-99 S - Pacific Highway 1 S - I-5 S from Coyote Creek Rd/Exit 76 (I-5) to Lariat Dr/Exit 71 (I-5) due to roadwork.,,I-5 S,R,Wolf Creek,Josephine,OR,97497,US,US/Pacific,KSXT,2021-06-03 00:56:00,60.0,60.0,62.0,26.09,10.0,N,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-62520,2,2021-03-01 01:00:00,2021-12-07 16:52:10,38.296869,-76.63486400000002,38.301186,-76.646538,0.6997612986049999,Construction on MD-5 NB near CAMP BROWN RD Expect long delays.,25239.0,Point Lookout Rd,L,Leonardtown,St. Mary's,MD,20650,US,US/Eastern,K2W6,2021-06-08 07:35:00,75.0,75.0,83.0,29.96,10.0,SW,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-62521,2,2021-04-15 05:07:00,2021-04-15 11:32:15,25.848395,-80.121471,25.844415,-80.121534,0.275019711776,Stationary traffic on FL-A1A from FL-A1A/Abbott Ave (FL-A1A) to FL-907/63rd St (FL-A1A) due to roadwork.,,Indian Creek Dr,R,Miami Beach,Miami-Dade,FL,33141,US,US/Eastern,KOPF,2021-04-15 04:53:00,66.0,66.0,81.0,29.98,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-62522,2,2021-06-20 18:27:15,2021-10-23 17:54:57,40.756188,-73.878844,40.756985,-73.871317,0.397775064629,Slow traffic on NY-25A from 82nd St (Northern Blvd/NY-25A) to 108th St (Northern Blvd/NY-25A) due to roadwork.,,89th St,R,Jackson Heights,Queens,NY,11372,US,US/Eastern,KLGA,2021-09-27 18:51:00,78.0,78.0,37.0,29.83,10.0,SSW,16.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
C-62523,2,2021-12-22 17:47:50,2021-12-22 19:50:40,26.275408,-80.09843000000002,26.276002,-80.09728,0.0822228709973,Slow traffic on US-1 N - FL-834 - FL-5 from NE 16th Ter to NE 39th St due to roadwork.,1768.0,E Sample Rd,L,Pompano Beach,Broward,FL,33064,US,US/Eastern,KPMP,2021-12-22 17:53:00,64.0,64.0,65.0,29.95,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
C-62524,2,2020-10-31 23:00:00,2021-12-27 17:40:13,33.466515,-112.151793,33.465949,-112.150697,0.0742968499738999,Slow traffic from W Granada Rd to N 41st Ave due to roadwork.,1662.0,N 43rd Ave,L,Phoenix,Maricopa,AZ,85009-2052,US,US/Mountain,KPHX,2021-05-12 03:51:00,73.0,73.0,19.0,28.68,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
C-62525,2,2020-06-23 09:01:19,2020-06-27 09:03:45,41.38036,-75.71531999999998,41.38036,-75.71531999999998,0.0,At Moosic Rd - Roadwork. Open.,528.0,S Main St,R,Taylor,Lackawanna,PA,18517-1822,US,US/Eastern,KAVP,2020-06-23 08:54:00,73.0,73.0,76.0,28.82,10.0,SW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-62526,2,2021-09-15 22:54:00,2021-09-15 23:36:30,40.263679,-103.797699,40.263719,-103.801513,0.201107053292,Stationary traffic on CO-52 from CO-52 exit [80] to I-76 W due to roadwork.,,I-76 W,R,Fort Morgan,Morgan,CO,80701,US,US/Mountain,KFMM,2021-09-15 22:50:00,66.0,66.0,35.0,25.29,10.0,S,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
