ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-3770658,4,2019-06-01 00:02:17,2019-06-01 05:02:10,33.55089,-84.44878,33.55089,-84.44878,0.0,Closed at Fayetteville Rd - Closed due to roadwork.,1801.0,Highway 138 SW,R,Riverdale,Clayton,GA,30296-1881,US,US/Eastern,KATL,2019-06-01 00:52:00,73.0,73.0,53.0,28.85,10.0,NW,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
C-3770659,2,2021-10-15 14:54:28,2021-10-15 17:19:34,27.271031,-80.290322,27.27172,-80.288586,0.1167593853659999,Stationary traffic on FL-716 - US-1 N - FL-5 from SE Delano Rd to SE Jennings Rd due to roadwork.,,SE Port St Lucie Blvd,R,Port Saint Lucie,St. Lucie,FL,34952,US,US/Eastern,KSUA,2021-10-15 14:51:00,84.0,84.0,62.0,29.92,7.0,ENE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3770660,2,2020-08-30 23:01:00,2020-08-31 12:44:00,37.407742,-122.066345,37.412061,-122.078,0.705830386498,Construction on US-101 NB near MOFFETT BLVD Drive with caution.,,Moffett Blvd,R,Mountain View,Santa Clara,CA,94043,US,US/Pacific,KNUQ,2020-08-30 23:15:00,61.0,61.0,88.0,29.79,10.0,N,7.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3770661,4,2018-01-09 23:00:00,2018-01-10 05:00:00,47.59804000000001,-122.32144,47.59739,-122.32111,0.0474697126464,Ramp closed to I-90 and Airport Way S - Closed. Construction work.,,I-5 S,R,Seattle,King,WA,98104,US,US/Pacific,KBFI,2018-01-09 22:53:00,43.0,39.5,82.0,29.81,10.0,SSE,5.8,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3770662,2,2017-11-07 09:49:12,2017-11-07 15:49:12,40.755048,-96.606019,40.755048,-96.606019,0.0,At Old Cheney Rd - Lane blocked. repairs in progress.,,Old Cheney Rd,R,Lincoln,Lancaster,NE,68516,US,US/Central,KLNK,2017-11-07 09:54:00,37.0,29.8,57.0,30.48,10.0,NNE,10.4,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3770663,2,2021-08-16 16:41:49,2021-08-16 18:49:22,31.807251,-106.263045,31.80651,-106.268699,0.335914028117,Slow traffic on US-62 W - US-180 W from N Zaragoza Rd (Montana Ave/US-62) to TX-375 Loop/Joe Battle Blvd (Montana Ave/US-62) due to roadwork.,12253.0,Montana Ave,L,El Paso,El Paso,TX,79938,US,US/Mountain,KELP,2021-08-16 16:44:00,79.0,79.0,61.0,26.04,10.0,ESE,9.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3770664,2,2020-11-08 15:54:30,2020-11-09 02:17:00,30.533284,-87.27327,30.533408,-87.277586,0.256998737303,Stationary traffic on FL-10 from FL-291/N Davis Hwy (US-90 Alt/FL-10) to US-29/FL-95/Pensacola Blvd (US-90 Alt/FL-10) due to roadwork.,2.0,E Nine Mile Rd,L,Pensacola,Escambia,FL,32534-3118,US,US/Central,KPNS,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3770665,2,2020-10-16 15:29:00,2020-10-17 01:30:30,29.705518,-98.87663,29.712434,-98.890128,0.940475767292,Stationary traffic on TX-16 from TX-211 (Bandera Rd/TX-16) to TX-46 (TX-16) due to roadwork.,13933.0,State Highway 16 S,R,Pipe Creek,Bandera,TX,78063,US,US/Central,K5C1,2020-10-16 15:35:00,72.0,72.0,27.0,28.74,10.0,NNE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3770666,3,2020-03-10 23:00:00,2020-03-11 05:00:00,47.23027,-122.463509,,,1.07000005245,Exit ramp from I-5 Southbound to S 38th St East Eastbound closed due to construction during the night.,3217.0,S Sprague Ave,L,Tacoma,Pierce,WA,98409,US,US/Pacific,KTCM,2020-03-10 22:58:00,42.0,36.0,78.0,29.8,10.0,S,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3770667,2,2021-07-12 13:07:30,2021-07-12 13:30:30,39.771069,-76.671341,39.771017,-76.663894,0.39549432876,Stationary traffic on PA-851 from Mount Airy Rd to Wolfe Rd due to roadwork.,400.0,E Forrest Ave,L,New Freedom,York,PA,17349-8422,US,US/Eastern,KTHV,2021-07-12 13:53:00,91.0,91.0,50.0,29.58,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3770668,2,2021-12-01 16:20:30,2021-12-01 18:39:00,40.501899,-80.02369200000003,40.497517,-80.019997,0.359660332136,Stationary traffic on US-19 N - US-19 S from I-279/Cemetery Ln (Perry Hwy/Perrysville Ave/US-19) to East St/Mairdale St (Perrysville Ave/US-19) due to roadwork.,4749.0,Perry Hwy,L,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,2021-12-01 15:53:00,48.0,45.0,44.0,28.67,10.0,S,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3770669,2,2021-01-13 19:02:19,2021-01-14 19:49:46,39.12005,-77.080925,39.13641,-77.164445,4.61703309256,Construction on MD-200 WB near MP 6 Expect delays.,,Inter County Connector W,R,Rockville,Montgomery,MD,20853,US,US/Eastern,KGAI,2021-01-13 18:56:00,41.0,38.0,57.0,29.34,10.0,SSE,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
