ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
C-3575826,2,2021-09-10 12:21:44.000000000,2021-09-10 12:42:16.000000000,40.721372,-73.79034899999998,40.718921,-73.789675,0.172986883612,Slow traffic from St Johns University to Queens due to roadwork.,,St Johns University,R,Jamaica,Queens,NY,11439,US,US/Eastern,KJFK,2021-09-10 12:51:00,71.0,71.0,47.0,29.88,10.0,NNW,20.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
C-3575827,2,2021-10-15 08:05:00.000000000,2021-10-15 10:09:05.000000000,33.451742,-112.219894,33.452529,-112.221131,0.0896770859148999,Stationary traffic from N 73rd Ave to I-10 E due to roadwork.,7441.0,W Van Buren St,L,Phoenix,Maricopa,AZ,85043,US,US/Mountain,KGEU,2021-10-15 07:58:00,60.0,60.0,28.0,28.95,10.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3575829,2,2020-12-21 14:18:30.000000000,2020-12-22 02:55:21.000000000,30.152707,-92.09207,30.150963,-92.093696,0.154781074442,Slow traffic on LA-733 - US-167 S from Driftwood St to Raymond St due to roadwork.,6722.0,Johnston St,L,Lafayette,Lafayette,LA,70503-6202,US,US/Central,KLFT,2020-12-21 13:53:00,68.0,68.0,37.0,30.12,10.0,NNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3575830,2,2020-08-02 19:00:00.000000000,2020-08-08 08:30:00.000000000,30.00146,-90.29442,29.94806,-90.37083,5.876049900140001,Between I-10/Exit 1 and LA-18/Exit 7 - Roadwork. Lane blocked.,,I-310 S,R,Saint Rose,St. Charles,LA,70087,US,US/Central,KMSY,2020-08-02 18:53:00,86.0,86.0,72.0,29.92,10.0,SSW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3575831,2,2020-10-22 19:57:00.000000000,2020-10-22 20:25:00.000000000,40.187461,-77.205334,40.18640900000001,-77.231116,1.36280260955,Slow traffic on I-81 from PA-34/Hanover St/Exit 47 (I-81) to PA-465/Exit 44 (I-81) due to roadwork.,,I-81 S,R,Carlisle,Cumberland,PA,17013,US,US/Eastern,KCXY,2020-10-22 19:56:00,68.0,68.0,81.0,29.82,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
C-3575832,2,2019-05-27 04:14:16.000000000,2019-05-30 23:59:00.000000000,33.528328,-86.803925,,,0.310000002384,Road closed due to construction work on Richard Arrington Jr Blvd Eastbound between 24th St and US-31 Carraway Blvd.,,Richard Arrington Jr Blvd N,R,Birmingham,Jefferson,AL,35203,US,US/Central,KBHM,2019-05-27 03:53:00,71.0,71.0,87.0,29.39,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
C-3575833,2,2021-09-08 09:44:30.000000000,2021-09-08 11:47:23.000000000,33.52397,-112.13648899999998,33.523975,-112.133081,0.196301315891,Slow traffic from N 43rd Ave (W Bethany Home Rd) to I-17/N Black Canyon Hwy (W Bethany Home Rd) due to roadwork.,3585.0,W Bethany Home Rd,L,Phoenix,Maricopa,AZ,85019-1939,US,US/Mountain,KGEU,2021-09-08 09:49:00,88.0,88.0,55.0,28.77,10.0,SW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
C-3575834,2,2019-04-17 18:32:02.000000000,2019-04-26 18:32:05.000000000,30.302740000000004,-81.983334,30.302740000000004,-81.98352,0.011095510804,Between Lima St S and Railroad Ave - Construction work.,796.0,US Highway 90 W,R,Jacksonville,Duval,FL,32234-1726,US,US/Eastern,KVQQ,2019-04-18 18:50:00,86.0,86.0,37.0,29.78,10.0,SW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
C-3575835,4,2020-03-14 02:51:49.000000000,2020-03-31 16:45:00.000000000,31.4219,-88.53418,31.4243,-88.55266,1.10213113904,Closed at Fred Smith Rd - Closed due to roadwork.,39697.0,Highway 42,R,State Line,Greene,MS,39362-8108,US,US/Central,KHBG,2020-03-14 02:53:00,66.0,66.0,93.0,30.04,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
C-3575836,2,2021-03-30 06:54:00.000000000,2021-03-31 07:48:23.000000000,40.085903,-79.90436899999997,40.095953,-79.907269,0.7111070539990001,Construction on PA-43 NB near MP 34 Construction. Left lane closed.,,James J Manderino Hwy N,R,Coal Center,Washington,PA,15423,US,US/Eastern,KAGC,2021-03-30 06:53:00,38.0,32.0,55.0,28.82,10.0,S,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
